date,lake_px,valid_px,clouds_pct_over_lake,chl_mean,chl_median,chl_p90,chl_p99,chl_max,used_SCL,used_QA60
2025-02-07,4960306,139,0.0,4.114379405975342,2.6934309005737305,4.63902473449707,62.871368408203125,98.22108459472656,False,False
2025-02-12,4960306,8479,0.0,3.4213104248046875,3.790592670440674,4.731449127197266,6.616212844848633,102.59040069580078,False,False
2025-02-22,4960306,120,0.0,3.875000238418579,2.755260467529297,4.734425067901611,15.689228057861328,111.40804290771484,False,False
2025-02-27,4960306,2187,0.0,3.7043190002441406,4.082902908325195,4.606174945831299,5.212804794311523,19.818408966064453,False,False
2025-03-04,4960306,19,0.0,2.7305643558502197,3.8628547191619873,4.330047607421875,4.536498546600342,4.556270122528076,False,False
2025-03-09,4960306,68,0.0,9.692514419555664,3.986243486404419,27.004358291625977,32.56657409667969,33.09174346923828,False,False
2025-03-14,4960306,12,0.0,7.348787784576416,3.2171449661254883,18.942110061645508,25.408231735229492,26.19150161743164,False,False
2025-03-24,4960306,10,0.0,2.0402698516845703,2.309572219848633,3.378262996673584,3.724785566329956,3.7632880210876465,False,False
2025-03-26,4960306,1,0.0,2.1560468673706055,2.1560468673706055,2.1560468673706055,2.1560468673706055,2.1560468673706055,False,False
2025-03-29,4960306,54237,0.0,3.698369026184082,3.8035731315612793,4.190070629119873,4.446891784667969,4.839482307434082,False,False
2025-04-03,4960306,11,0.0,1.9755915403366089,1.7752912044525146,4.092245101928711,4.297098636627197,4.319859981536865,False,False
2025-04-13,4960306,5,0.0,7.793145179748535,4.2388505935668945,16.039846420288086,20.716018676757812,21.235591888427734,False,False
2025-04-15,4960306,3,0.0,8.493069648742676,7.674010276794434,13.225831985473633,14.474991798400879,14.613787651062012,False,False
2025-05-03,4960306,1879,0.0,2.7846624851226807,2.954481601715088,4.387673377990723,5.0762481689453125,8.551528930664062,False,False
2025-05-08,4960306,2056,0.0,3.979548931121826,4.339102268218994,4.6949663162231445,5.1773834228515625,12.20256519317627,False,False
2025-05-13,4960306,8,0.0,7.466386795043945,4.288991451263428,15.294991493225098,27.947628021240234,29.353469848632812,False,False
2025-05-25,4960306,154,0.0,2.9375710487365723,3.1496074199676514,4.676398754119873,5.137385368347168,7.192736625671387,False,False
2025-05-28,4960306,108,0.0,3.633779287338257,3.9452967643737793,4.837393760681152,5.46006441116333,5.561389923095703,False,False
2025-07-02,4960306,406,0.0,2.5645740032196045,2.5984549522399902,4.419260501861572,4.881310939788818,4.936628818511963,False,False
2025-07-12,4960306,38,0.0,42.46357727050781,50.53756332397461,73.24856567382812,78.54139709472656,80.6815185546875,False,False
2025-07-22,4960306,31,0.0,27.287565231323242,5.005987167358398,72.10491180419922,84.6686019897461,88.3140640258789,False,False
2025-07-24,4960306,81,0.0,52.34431838989258,54.23161697387695,83.60765838623047,92.93358612060547,94.6243896484375,False,False
2025-08-01,4960306,11,0.0,80.19904327392578,105.69754028320312,119.02411651611328,129.58700561523438,130.7606658935547,False,False
