lake,date,chl_mean,chl_p90,ndvi_mean,ndwi_g_mean,ndwi_s_mean,valid_px,presence_thr,presence_pct,r_pix_ndvi_spearman,r_pix_ndwi_g_spearman,r_pix_ndwi_s_spearman,r_pres_ndvi,r_pres_ndwi_g,r_pres_ndwi_s
Atitlán,2025-02-07,14.396147727966309,25.14571189880371,0.1616397649049759,0.8714667558670044,0.04160095751285553,1194367,10.0,32.95988586422766,0.4385070168035506,0.26270375909268523,0.0865408170934267,0.09852724931269774,0.038748065817459265,0.04877146942251085
Atitlán,2025-02-12,5.412135124206543,6.701510429382324,-0.18817655742168427,0.4615190327167511,0.09856787323951721,1014007,10.0,2.8974158955510165,-0.211963346094927,0.18580441052411922,-0.20504445932185802,0.009575866209715391,0.003944001629505465,-0.05281880271745412
Atitlán,2025-02-22,5.649433135986328,8.752954483032227,-0.20445318520069122,0.48033323884010315,-0.16502046585083008,1054155,10.0,5.232721943167751,-0.2713881718850093,0.2621181998026465,-0.2185843166659954,-0.08269199380530622,0.17732663141166974,-0.28281379279036495
Atitlán,2025-02-27,5.840075492858887,7.45478630065918,-0.1750553846359253,0.45406028628349304,0.3113982677459717,1161855,10.0,2.28221249639585,-0.340480877749561,0.16181488553277584,-0.1409243146687906,-0.18603383995377568,0.30662533340950315,-0.1747004840656278
Atitlán,2025-03-04,4.353273868560791,6.030896186828613,-0.01245934795588255,0.30049192905426025,0.15047630667686462,1227243,10.0,0.8141012008216791,-0.2681656101572349,0.25516238246639394,0.04760497545041509,0.031381617579452806,-0.023393024519886948,-0.14839791957144355
Atitlán,2025-03-09,5.595355987548828,7.450674533843994,-0.127962127327919,0.42187613248825073,0.3255164921283722,1229854,10.0,0.5872241745768196,-0.26902413447264784,0.10199742514586367,0.042819992284769605,0.16461740825711127,-0.20218077028452075,-0.15039557092098216
Atitlán,2025-03-14,5.323112487792969,6.9674153327941895,-0.11493795365095139,0.4597329795360565,0.11530673503875732,1236390,10.0,0.6994556733716708,-0.24921360406428986,0.1056771249791421,-0.1287766643680107,0.09079826859617524,-0.1990261419422723,-0.06806998718021498
Atitlán,2025-03-24,5.883004188537598,7.682997703552246,-0.1495184749364853,0.4664018154144287,0.08562374114990234,1220991,10.0,1.1359625091421641,-0.23812279654423502,0.19568758313008766,-0.02747775505185657,-0.09118819376219825,-0.013895812535653723,-0.19759527929952772
Atitlán,2025-03-26,4.958137512207031,6.374884605407715,0.13075372576713562,0.04862337186932564,0.05838005617260933,1236186,10.0,0.9279347929842273,0.48560895605031923,-0.013768989596168867,0.09665193409172149,0.006384505040591606,0.07030162780333947,-0.14658192104885015
Atitlán,2025-03-29,3.3348405361175537,4.786472320556641,0.023539504036307335,0.11586958169937134,0.12606222927570343,1195829,10.0,0.23105310207395874,-0.06271323096812158,0.19772054490316687,-0.22123470169233256,0.23596264698068894,-0.23223341242454013,-0.0002628288477905391
Atitlán,2025-04-03,6.476685047149658,9.166519165039062,-0.17162147164344788,0.6351948380470276,-0.1660337746143341,1181052,10.0,7.819723433007184,-0.10745906916720836,0.42729921111930047,-0.29928141748181225,0.0356928250255149,0.05591057479660956,0.017000678409963166
Atitlán,2025-04-13,4.935853004455566,6.353943824768066,-0.0440325066447258,0.3605552017688751,0.10171228647232056,1236985,10.0,0.6263616777891405,-0.21059974187611177,0.19076855726146966,0.0709811618220531,0.20380531658993625,-0.22698171766336733,-0.06272917594371398
Atitlán,2025-04-15,5.35073709487915,7.4120707511901855,-0.1534321904182434,0.5305578708648682,0.2587001919746399,1237752,10.0,0.9905861594245051,-0.228314091015838,0.09284021205129557,-0.04403404665890018,0.042089168819784674,-0.1967176525899585,-0.055168441485234775
Atitlán,2025-05-03,4.381346225738525,6.430856227874756,-0.144058957695961,0.3411884605884552,0.1600429266691208,1137313,10.0,0.5304608318026788,-0.42635366882075304,0.31786571207055,-0.16680664179842605,0.11519198962166007,-0.13359417574727497,-0.07025002988965917
Atitlán,2025-05-08,4.9594831466674805,6.389484405517578,-0.10347519814968109,0.28494593501091003,0.29846063256263733,1227362,10.0,0.29526741091870207,-0.5194359830613102,0.48936587709589513,0.4398708024609125,0.22473371515024085,-0.19322053994339525,-0.08420758701981404
Atitlán,2025-05-13,5.172989845275879,7.901414394378662,-0.07057380676269531,0.376603364944458,0.08213212341070175,1234880,10.0,1.8635009069707178,-0.40422891559380314,0.452672937690036,-0.013578039968843825,-0.1848841089064311,0.11549018012902303,-0.26920946973044113
Atitlán,2025-05-25,6.139960289001465,9.553439140319824,-0.03185461834073067,0.333569198846817,0.05744417756795883,1206757,10.0,8.837321846900412,-0.11771183296380514,0.45333338878805907,-0.04031277333623385,0.0040586572333157446,0.03745162876841751,0.015138968153273133
Atitlán,2025-05-28,3.7528843879699707,5.149026870727539,-0.0006755092763341963,0.15250854194164276,0.14964665472507477,1235308,10.0,0.4836850404919259,0.07761257478767368,0.06316120958862964,-0.04971625644979488,0.001193923152842046,-0.02738422519852416,-0.11073616087316028
Atitlán,2025-07-02,4.847456932067871,6.6538519859313965,0.09973708540201187,0.07599198073148727,0.060506489127874374,1152106,10.0,1.013274820198836,0.4137979505280398,-0.1796113004521356,0.32514658286271964,0.013774341926478641,-0.04747270402483839,-0.02753255903533622
Atitlán,2025-07-12,5.881331443786621,7.773458480834961,-0.10469841957092285,0.4495842456817627,0.09600619226694107,1168558,10.0,1.221077601625251,-0.21969982125838747,0.28857760442406416,0.03220779402919289,0.037031351353186116,-0.13466702004123385,-0.0714590875242717
Atitlán,2025-07-22,5.51062536239624,7.997499465942383,-0.06725145876407623,0.3874005377292633,0.03203419968485832,1123878,10.0,2.3320146848679304,-0.3325221506509459,0.3145836535876952,-0.20643212273772266,-0.009550092126114412,-0.10605140442744562,-0.10868606567164102
Atitlán,2025-07-24,6.150417327880859,9.42504596710205,-0.2086404263973236,0.5918209552764893,0.10312697291374207,1198792,10.0,7.03174529025886,-0.1779707333385424,0.33532000687685565,-0.025737353554118672,-0.02475538365529358,0.12823618396450107,-0.0466201528602451
Atitlán,2025-08-01,3.9239470958709717,5.454458713531494,-0.002827760996297002,0.23200863599777222,-0.0010510378051549196,1230418,10.0,1.1239269906649612,0.08728538946209444,0.2864735482428595,-0.07047553697966721,0.03041354624357411,0.06859662676470862,-0.14250390151220094
