lake,date,chl_mean,ndvi_mean,ndwi_g_mean,ndwi_s_mean,r_pix_ndvi_pearson,r_pix_ndvi_spearman,r_pix_ndwi_g_pearson,r_pix_ndwi_g_spearman,r_pix_ndwi_s_pearson,r_pix_ndwi_s_spearman,l2a_path,chl_path
Amatitlán,2025-01-08,1.4011256694793701,-0.030003393068909645,0.1357603818178177,0.13726241886615753,-0.24366028606891632,-0.2095873423845594,0.4753611087799072,0.5287622110022164,-0.603591799736023,-0.6235846637095949,descargas_amatitlan\openEO_2025-01-08Z.tif,ciano_outputs\descargas_amatitlan\openEO_2025-01-08Z_chl.tif
Amatitlán,2025-01-13,24.04569435119629,0.4059758484363556,-0.13395258784294128,0.5768910646438599,0.6798271536827087,0.3534721948345235,-0.640661358833313,-0.353182900056288,0.6277286410331726,0.1746025484277749,descargas_amatitlan\openEO_2025-01-13Z.tif,ciano_outputs\descargas_amatitlan\openEO_2025-01-13Z_chl.tif
Amatitlán,2025-01-18,16.708303451538086,0.38565880060195923,-0.11647731810808182,0.5414716601371765,0.7081766128540039,0.5283596492015191,-0.643439531326294,-0.4728624644698291,0.6240113377571106,0.26788045329138555,descargas_amatitlan\openEO_2025-01-18Z.tif,ciano_outputs\descargas_amatitlan\openEO_2025-01-18Z_chl.tif
Amatitlán,2025-01-28,1.7660430669784546,-0.06696337461471558,0.32909804582595825,-0.001530523062683642,-0.717988133430481,-0.601844440563991,0.6407433152198792,0.6743558189451947,-0.6938624382019043,-0.7613694730026391,descargas_amatitlan\openEO_2025-01-28Z.tif,ciano_outputs\descargas_amatitlan\openEO_2025-01-28Z_chl.tif
Amatitlán,2025-02-02,3.249406576156616,0.011176973581314087,0.12641532719135284,0.16566194593906403,-0.03832129389047623,-0.07336373939262422,0.4163638651371002,0.4492808598035755,-0.38643571734428406,-0.43008954268115873,descargas_amatitlan\openEO_2025-02-02Z.tif,ciano_outputs\descargas_amatitlan\openEO_2025-02-02Z_chl.tif
Amatitlán,2025-02-07,2.699183225631714,0.066957987844944,0.11599884927272797,0.19113802909851074,0.5636494159698486,0.4047164248653139,-0.3632853329181671,-0.20235821243265695,0.43816277384757996,0.2879978654758292,descargas_amatitlan\openEO_2025-02-07Z.tif,ciano_outputs\descargas_amatitlan\openEO_2025-02-07Z_chl.tif
Amatitlán,2025-02-12,20.326637268066406,0.25092819333076477,-0.022843578830361366,0.5394729971885681,0.7543825507164001,0.6691203017089026,-0.5255149006843567,-0.2523894330839068,0.81072598695755,0.8554480233321259,descargas_amatitlan\openEO_2025-02-12Z.tif,ciano_outputs\descargas_amatitlan\openEO_2025-02-12Z_chl.tif
Amatitlán,2025-02-22,4.5253753662109375,0.012590835802257061,0.18050475418567657,0.14072050154209137,-0.05368218570947647,-0.17001166592399478,0.23912270367145538,0.38535377222790956,-0.16979297995567322,-0.32844294738847124,descargas_amatitlan\openEO_2025-02-22Z.tif,ciano_outputs\descargas_amatitlan\openEO_2025-02-22Z_chl.tif
Amatitlán,2025-02-27,12.948698997497559,0.21592983603477478,0.02358391135931015,0.6195528507232666,0.8364558219909668,0.827747339815737,-0.6522960662841797,-0.5513967037856004,0.7868008613586426,0.8638548362530653,descargas_amatitlan\openEO_2025-02-27Z.tif,ciano_outputs\descargas_amatitlan\openEO_2025-02-27Z_chl.tif
Amatitlán,2025-03-04,33.30491256713867,0.34977132081985474,-0.051007214933633804,0.707472562789917,0.8573967218399048,0.828883608197713,-0.7472566962242126,-0.6950690067216239,0.7230006456375122,0.7462596248614481,descargas_amatitlan\openEO_2025-03-04Z.tif,ciano_outputs\descargas_amatitlan\openEO_2025-03-04Z_chl.tif
