r,c,prob,yhat_raw,yhat_clustered
174,470,0.2582129682261909,1,0
175,459,0.4684188243419896,1,1
175,460,0.4694604910086562,1,1
175,461,0.4694604910086562,1,1
175,462,0.4694604910086562,1,1
175,463,0.4694604910086562,1,1
175,464,0.274823048902166,1,1
174,460,0.4684188243419896,1,1
175,465,0.304549147541327,1,1
174,459,0.3174890496141043,1,1
174,457,0.3233538991083562,1,1
172,468,0.23695419144575827,0,0
173,455,0.2582129682261909,1,1
173,456,0.3233538991083562,1,1
173,457,0.3233538991083562,1,1
173,458,0.304549147541327,1,1
173,459,0.304549147541327,1,1
173,460,0.2582129682261909,1,1
173,461,0.2582129682261909,1,1
173,462,0.2582129682261909,1,1
173,463,0.2582129682261909,1,1
173,464,0.2582129682261909,1,1
173,465,0.2582129682261909,1,1
173,466,0.2582129682261909,1,1
174,455,0.4089318905266205,1,1
174,456,0.3233538991083562,1,1
174,458,0.3174890496141043,1,1
172,466,0.2582129682261909,1,1
175,466,0.304549147541327,1,1
175,468,0.2985589897269709,1,1
178,464,0.4684188243419896,1,1
178,465,0.4684188243419896,1,1
178,466,0.4694604910086562,1,1
178,467,0.4694604910086562,1,1
178,468,0.3233538991083562,1,1
178,469,0.4089318905266205,1,1
178,470,0.4089318905266205,1,1
178,471,0.4089318905266205,1,1
178,472,0.4089318905266205,1,1
179,468,0.43050332469553987,1,1
179,470,0.40895403826681276,1,1
179,472,0.40895403826681276,1,1
181,467,0.4684188243419896,1,0
181,468,0.42767594374315887,1,0
181,469,0.4221270676437861,1,0
178,463,0.47808879698220846,1,1
175,467,0.2985589897269709,1,1
177,470,0.4089318905266205,1,1
177,468,0.40895403826681276,1,1
176,459,0.47808879698220846,1,1
176,460,0.47808879698220846,1,1
176,461,0.47808879698220846,1,1
176,462,0.47808879698220846,1,1
176,463,0.47808879698220846,1,1
176,464,0.4684188243419896,1,1
176,465,0.40895403826681276,1,1
176,466,0.3233538991083562,1,1
176,467,0.274823048902166,1,1
176,468,0.2985589897269709,1,1
176,470,0.2985589897269709,1,1
177,464,0.43050332469553987,1,1
177,465,0.4684188243419896,1,1
177,466,0.4694604910086562,1,1
177,467,0.3701134803561724,1,1
177,469,0.4089318905266205,1,1
181,470,0.4694604910086562,1,0
172,465,0.2582129682261909,1,1
172,463,0.2582129682261909,1,1
169,452,0.23695419144575827,0,0
169,453,0.23695419144575827,0,0
169,454,0.23695419144575827,0,0
169,455,0.23695419144575827,0,0
169,456,0.23695419144575827,0,0
169,457,0.23695419144575827,0,0
169,458,0.23695419144575827,0,0
169,459,0.23695419144575827,0,0
169,460,0.23695419144575827,0,0
169,461,0.23695419144575827,0,0
169,462,0.23695419144575827,0,0
169,463,0.23695419144575827,0,0
169,464,0.23695419144575827,0,0
169,465,0.23695419144575827,0,0
169,466,0.23695419144575827,0,0
169,451,0.23695419144575827,0,0
169,493,0.23695419144575827,0,0
169,449,0.23695419144575827,0,0
167,457,0.23695419144575827,0,0
462,770,0.6591463414634147,1,0
87,308,0.274823048902166,1,0
101,313,0.3701134803561724,1,0
102,313,0.304549147541327,1,0
109,315,0.3568055862917513,1,0
111,317,0.3568055862917513,1,0
164,493,0.23695419144575827,0,0
164,494,0.23695419144575827,0,0
165,493,0.23695419144575827,0,0
165,494,0.23695419144575827,0,0
166,494,0.23695419144575827,0,0
167,451,0.23695419144575827,0,0
167,453,0.23695419144575827,0,0
167,454,0.23695419144575827,0,0
167,456,0.23695419144575827,0,0
167,460,0.23695419144575827,0,0
172,464,0.2582129682261909,1,1
170,449,0.23695419144575827,0,0
170,452,0.23695419144575827,0,0
171,466,0.23695419144575827,0,0
171,488,0.23695419144575827,0,0
172,449,0.2582129682261909,1,0
172,451,0.2582129682261909,1,1
172,452,0.2582129682261909,1,1
172,453,0.2582129682261909,1,1
172,454,0.2582129682261909,1,1
172,455,0.2582129682261909,1,1
172,456,0.2582129682261909,1,1
172,457,0.2582129682261909,1,1
172,458,0.2582129682261909,1,1
172,459,0.24835516940242627,0,0
172,460,0.24835516940242627,0,0
172,461,0.2582129682261909,1,1
172,462,0.2582129682261909,1,1
171,465,0.23695419144575827,0,0
170,451,0.23695419144575827,0,0
171,464,0.23695419144575827,0,0
171,461,0.23695419144575827,0,0
170,453,0.23695419144575827,0,0
170,454,0.23695419144575827,0,0
170,455,0.23695419144575827,0,0
170,456,0.23695419144575827,0,0
170,458,0.23695419144575827,0,0
170,468,0.23695419144575827,0,0
171,451,0.23695419144575827,0,0
171,453,0.23695419144575827,0,0
171,454,0.23695419144575827,0,0
171,455,0.23695419144575827,0,0
171,456,0.23695419144575827,0,0
171,457,0.23695419144575827,0,0
171,458,0.23695419144575827,0,0
171,459,0.23695419144575827,0,0
171,460,0.23695419144575827,0,0
171,462,0.23695419144575827,0,0
683,962,0.19084154091162786,0,0
181,471,0.4694604910086562,1,0
182,478,0.47808879698220846,1,0
223,376,0.2582129682261909,1,0
544,1077,0.24835516940242627,0,0
552,877,0.4694604910086562,1,0
89,339,0.24835516940242627,0,0
691,941,0.2582129682261909,1,0
103,655,0.23695419144575827,0,0
655,875,0.47808879698220846,1,0
483,857,0.47808879698220846,1,0
605,1111,0.304549147541327,1,0
233,519,0.47808879698220846,1,0
293,679,0.4694604910086562,1,0
67,312,0.2582129682261909,1,0
542,1168,0.24835516940242627,0,0
213,587,0.3233538991083562,1,0
66,366,0.23695419144575827,0,0
309,571,0.4684188243419896,1,0
275,628,0.304549147541327,1,0
119,344,0.2261215302063526,0,0
214,517,0.2582129682261909,1,0
430,752,0.586845606287338,1,0
173,423,0.23695419144575827,0,0
513,796,0.586845606287338,1,0
203,635,0.2582129682261909,1,0
340,747,0.4694604910086562,1,0
672,895,0.4694604910086562,1,0
179,482,0.2582129682261909,1,0
160,454,0.23695419144575827,0,0
721,1009,0.2582129682261909,1,0
673,1101,0.304549147541327,1,0
649,1036,0.23695419144575827,0,0
299,709,0.47808879698220846,1,0
171,534,0.23695419144575827,0,0
742,1025,0.2582129682261909,1,0
728,934,0.47808879698220846,1,0
167,419,0.23695419144575827,0,0
202,447,0.586845606287338,1,0
537,893,0.47808879698220846,1,0
602,902,0.2985589897269709,1,0
120,472,0.22082492003686105,0,0
306,739,0.47808879698220846,1,0
330,715,0.47808879698220846,1,0
310,581,0.4694604910086562,1,0
195,512,0.2582129682261909,1,0
738,1049,0.4684188243419896,1,0
563,1159,0.24835516940242627,0,0
609,1029,0.2582129682261909,1,0
211,572,0.3233538991083562,1,0
390,736,0.586845606287338,1,0
160,449,0.23695419144575827,0,0
550,1136,0.24835516940242627,0,0
557,829,0.6182372505543237,1,0
732,1090,0.4694604910086562,1,0
221,556,0.2582129682261909,1,0
165,652,0.24835516940242627,0,0
258,658,0.40895403826681276,1,0
202,723,0.4089318905266205,1,0
59,336,0.304549147541327,1,0
177,656,0.2543848540035395,0,0
221,514,0.2582129682261909,1,0
776,980,0.40895403826681276,1,0
547,1147,0.24835516940242627,0,0
603,1050,0.24835516940242627,0,0
127,718,0.3233538991083562,1,0
733,1112,0.586845606287338,1,0
168,651,0.24835516940242627,0,0
175,506,0.23695419144575827,0,0
356,582,0.47808879698220846,1,0
107,485,0.24835516940242627,0,0
761,975,0.2582129682261909,1,0
759,1009,0.304549147541327,1,0
649,907,0.24835516940242627,0,0
626,1072,0.23695419144575827,0,0
107,711,0.3174890496141043,1,0
181,472,0.4694604910086562,1,0
571,841,0.6182372505543237,1,0
168,546,0.19084154091162786,0,0
274,650,0.2582129682261909,1,0
275,650,0.2985589897269709,1,0
275,652,0.304549147541327,1,0
275,653,0.3233538991083562,1,0
276,653,0.3233538991083562,1,0
278,583,0.2985589897269709,1,0
282,575,0.40895403826681276,1,0
282,578,0.2985589897269709,1,0
284,572,0.47808879698220846,1,0
284,575,0.3233538991083562,1,0
285,575,0.40895403826681276,1,0
286,568,0.4694604910086562,1,0
286,570,0.47808879698220846,1,0
286,571,0.47808879698220846,1,0
287,568,0.4694604910086562,1,0
273,653,0.3233538991083562,1,0
287,570,0.47808879698220846,1,0
273,651,0.304549147541327,1,0
272,652,0.2582129682261909,1,0
237,365,0.43050332469553987,1,0
237,366,0.32424042393105124,1,0
239,370,0.3174890496141043,1,0
262,554,0.47808879698220846,1,0
265,603,0.2985589897269709,1,0
266,606,0.304549147541327,1,0
266,608,0.2985589897269709,1,0
268,603,0.304549147541327,1,0
268,604,0.304549147541327,1,0
270,651,0.2985589897269709,1,0
271,588,0.304549147541327,1,0
272,590,0.304549147541327,1,0
272,591,0.304549147541327,1,0
272,650,0.2582129682261909,1,0
272,651,0.304549147541327,1,0
273,650,0.2582129682261909,1,0
286,585,0.3174890496141043,1,0
287,571,0.47808879698220846,1,0
287,653,0.31148943067663715,1,0
251,653,0.4089318905266205,1,0
797,1091,0.48225914541021514,1,0
593,989,0.23695419144575827,0,0
85,337,0.24835516940242627,0,0
565,1077,0.24835516940242627,0,0
775,947,0.47808879698220846,1,0
396,754,0.586845606287338,1,0
473,867,0.586845606287338,1,0
160,375,0.2582129682261909,1,0
684,1025,0.1725089823262576,0,0
368,746,0.586845606287338,1,0
313,743,0.47808879698220846,1,0
140,645,0.2261215302063526,0,0
477,876,0.586845606287338,1,0
546,1140,0.24835516940242627,0,0
183,395,0.23695419144575827,0,0
287,574,0.3233538991083562,1,0
306,695,0.47808879698220846,1,0
530,871,0.47808879698220846,1,0
289,648,0.40895403826681276,1,0
290,567,0.4089318905266205,1,0
291,567,0.3233538991083562,1,0
291,650,0.4694604910086562,1,0
291,653,0.4694604910086562,1,0
295,655,0.47808879698220846,1,0
296,652,0.47808879698220846,1,0
333,682,0.3233538991083562,1,0
334,682,0.3233538991083562,1,0
341,684,0.47808879698220846,1,0
343,684,0.43050332469553987,1,0
458,759,1.0,1,0
464,767,0.9307224474687154,1,0
322,681,0.40895403826681276,1,0
337,607,0.4323479214960622,1,0
202,589,0.3233538991083562,1,0
548,1070,0.24835516940242627,0,0
