date,week,r,c,y,pix_lag_last,pix_lag_mean,pix_lag_max,pix_lag_slope,pix_lag_bin_sum,pix_lag_bin_frac,days_since_ex,doy_sin,doy_cos,r_norm,c_norm,rc_center,locR3_mean,locR3_std,locR3_p90,locR3_frac_ge,locR3_mean_slope,locR3_p90_slope,locR7_mean,locR7_std,locR7_p90,locR7_frac_ge,locR7_mean_slope,locR7_p90_slope,locR15_mean,locR15_std,locR15_p90,locR15_frac_ge,locR15_mean_slope,locR15_p90_slope,idx_wf_pct12,idx_wf_pct15,idx_wf_pct20,idx_wf_p95,idx_wf_mlog,pop_pi_week
2025-01-13,2025-01-13,288,688,1,2.5118863582611084,2.5118863582611084,2.5118863582611084,,0.0,0.0,,0.22177215755648186,0.975098513039961,0.3120260021668472,0.504029304029304,0.1880171778118656,2.5118863582611084,0.0,2.5118863582611084,0.0,,,2.5118863582611084,0.0,2.5118863582611084,0.0,,,2.5118863582611084,0.0,2.5118863582611084,0.0,,,,,,,,
2025-01-13,2025-01-13,427,766,0,2.4029059410095215,2.4029059410095215,2.4029059410095215,,0.0,0.0,,0.22177215755648186,0.975098513039961,0.4626218851570964,0.5611721611721612,0.07168791231220333,2.5454297065734863,0.23670487105846405,2.7307217121124268,0.0,,,2.5387542247772217,0.24475152790546417,2.74285888671875,0.0,,,2.532003402709961,0.2427336871623993,2.7385430335998535,0.0,,,,,,,,
2025-01-13,2025-01-13,705,1086,0,2.1435205936431885,2.1435205936431885,2.1435205936431885,,0.0,0.0,,0.22177215755648186,0.975098513039961,0.7638136511375948,0.7956043956043956,0.39620651335785556,2.6949045658111572,0.2881738841533661,2.931243896484375,0.0,,,2.6432082653045654,0.30201929807662964,2.9318974018096924,0.0,,,2.70609450340271,0.37563949823379517,2.9756622314453125,0.0,,,,,,,,
2025-01-18,2025-01-13,639,872,1,18.160131454467773,10.764148116111755,18.160131454467773,,0.0,0.0,,0.3047192331091634,0.9524422234305676,0.6923076923076923,0.6388278388278388,0.23718224502335422,5.158334016799927,2.1259625852108,8.52298092842102,0.0,,,4.422860145568848,1.6184528917074203,5.9310572147369385,0.0,,,4.021020293235779,1.0370223671197891,4.761176228523254,0.0,,,,,,,,
2025-01-18,2025-01-13,640,872,1,16.345603942871094,9.36207628250122,16.345603942871094,,0.0,0.0,,0.3047192331091634,0.9524422234305676,0.6933911159263272,0.6388278388278388,0.23806153102262972,5.300130724906921,2.07943332195282,8.279288291931152,0.0,,,4.494789719581604,1.630989745259285,6.547289133071899,0.0,,,4.042531609535217,1.038649931550026,4.774379253387451,0.0,,,,,,,,
2025-01-18,2025-01-13,777,1099,0,4.030431747436523,3.2799038887023926,4.030431747436523,,0.0,0.0,,0.3047192331091634,0.9524422234305676,0.8418201516793066,0.8051282051282052,0.45819672375391796,3.3817355632781982,0.3027411550283432,3.7719002962112427,0.0,,,3.3936127424240112,0.3230660855770111,3.7329981327056885,0.0,,,3.5028412342071533,0.49274595081806183,4.0040305852890015,0.0,,,,,,,,
2025-01-18,2025-01-13,533,890,0,5.851041793823242,4.596224069595337,5.851041793823242,,0.0,0.0,,0.3047192331091634,0.9524422234305676,0.5774647887323944,0.652014652014652,0.17061432507409877,4.184853911399841,0.4048880785703659,4.618220329284668,0.0,,,4.04795503616333,0.4021308124065399,4.455961108207703,0.0,,,3.9749395847320557,0.5178211182355881,4.51711118221283,0.0,,,,,,,,
2025-01-18,2025-01-13,283,566,0,10.287527084350586,6.399706721305847,10.287527084350586,,0.0,0.0,,0.3047192331091634,0.9524422234305676,0.3066088840736728,0.4146520146520147,0.21138685465797072,6.05019748210907,0.4773322641849518,6.746654391288757,0.0,,,5.750327467918396,0.5177816152572632,6.472788691520691,0.0,,,5.678815484046936,0.5630135536193848,6.386008143424988,0.0,,,,,,,,
2025-01-18,2025-01-13,276,745,0,5.6190056800842285,4.0654460191726685,5.6190056800842285,,0.0,0.0,,0.3047192331091634,0.9524422234305676,0.2990249187432286,0.5457875457875457,0.20612491997672786,4.06168520450592,0.11571937799453735,4.222901940345764,0.0,,,4.02932870388031,0.19434598088264465,4.295778155326843,0.0,,,4.097052335739136,0.3420197069644928,4.4884761571884155,0.0,,,,,,,,
2025-01-28,2025-01-27,523,939,0,11.744380950927734,6.9727197488149,11.744380950927734,4.365655064582823,0.0,0.0,,0.4632579225674917,0.88622350294858,0.5666305525460456,0.6879120879120879,0.19937548323721146,6.521225452423096,1.1643029650052388,8.080431938171387,0.0,3.8435227870941158,4.6992011070251465,5.830953756968181,1.3127904534339905,7.478319009145101,0.0,2.8610506057739253,3.6562385559082013,5.365588188171387,1.314906895160675,6.918582280476888,0.0,2.512717247009277,3.7293541431427006,,,,,,
2025-01-28,2025-01-27,566,1084,0,5.409968376159668,4.235945224761963,5.409968376159668,1.1643488407135,0.0,0.0,,0.4632579225674917,0.88622350294858,0.6132177681473456,0.7941391941391941,0.31517634516746434,4.283539692560832,0.5488041142622629,4.968622048695882,0.0,0.9997652769088742,0.9136936664581294,4.059722344080607,0.7314508159955343,4.921060880025228,0.0,0.8611520528793334,1.0254817008972164,3.8322904109954834,0.7183244427045187,4.718192418416341,0.0,0.9621353149414057,1.258631467819213,,,,,,
