date,lake_px,valid_px,clouds_pct_over_lake,chl_mean,chl_median,chl_p90,chl_p99,chl_max,used_SCL,used_QA60,coverage_pct
2025-02-07,1182818,79,0.0,2.5797338485717773,2.63424015045166,4.537113189697266,4.964097499847412,4.995242595672607,True,False,0.0066789649802421
2025-02-12,993317,3243,0.0,3.2218377590179443,3.504317283630371,4.67889928817749,5.254848480224609,8.441890716552734,True,False,0.32648187839330245
2025-02-22,1034001,93,0.0,2.5732195377349854,2.5239973068237305,4.421873569488525,5.097734451293945,5.261541366577148,True,False,0.008994188593628053
2025-02-27,1148542,112,0.0,2.442631244659424,2.510857105255127,4.248053073883057,4.869755744934082,5.108371734619141,True,False,0.00975149363279706
2025-03-04,1214829,7,0.0,1.1597415208816528,0.6554937362670898,2.445641279220581,4.345207691192627,4.556270122528076,True,False,0.0005762127838568226
2025-03-09,1218158,29,0.0,3.01070499420166,2.6290900707244873,4.48944616317749,12.007012367248535,13.251291275024414,True,False,0.0023806435618368062
2025-03-14,1224700,2,0.0,22.63117218017578,22.63117218017578,25.479434967041016,26.12029457092285,26.19150161743164,True,False,0.00016330529925696088
2025-03-24,1209047,5,0.0,2.2175276279449463,2.359471559524536,3.2132394313812256,3.323258399963379,3.335482597351074,True,False,0.0004135488529395466
2025-03-26,1224784,1,0.0,2.1560468673706055,2.1560468673706055,2.1560468673706055,2.1560468673706055,2.1560468673706055,True,False,8.164704960221558e-05
2025-03-29,1180907,53061,0.0,3.7130510807037354,3.807605504989624,4.189867973327637,4.444711685180664,4.839482307434082,True,False,4.493241212051415
2025-04-03,1167201,2,0.0,0.2661477327346802,0.2661477327346802,0.3669569194316864,0.3896389901638031,0.39215922355651855,True,False,0.00017135009308593806
2025-04-13,1225425,1,0.0,8.246232032775879,8.246232032775879,8.246232032775879,8.246232032775879,8.246232032775879,True,False,8.160434135095987e-05
2025-04-15,1226123,1,0.0,7.674010276794434,7.674010276794434,7.674010276794434,7.674010276794434,7.674010276794434,True,False,8.15578861174613e-05
2025-05-03,1120851,1208,0.0,2.839445114135742,3.0231311321258545,4.390829086303711,4.890249729156494,6.467470169067383,True,False,0.10777525291051175
2025-05-08,1214618,725,0.0,3.572136402130127,3.910728931427002,4.756008148193359,5.287580490112305,8.315589904785156,True,False,0.05968954848355615
2025-05-13,1223247,2,0.0,5.8639960289001465,5.8639960289001465,8.588748931884766,9.201818466186523,9.269937515258789,True,False,0.0001634992769244478
2025-05-25,1192248,98,0.0,3.0358195304870605,3.282860279083252,4.707857131958008,5.213542938232422,7.192736625671387,True,False,0.00821976635733505
2025-05-28,1223923,80,0.0,3.6898980140686035,3.9452967643737793,4.8356428146362305,5.23104190826416,5.48155403137207,True,False,0.006536358904931111
2025-07-02,1135032,389,0.0,2.597060203552246,2.6449265480041504,4.4461774826049805,4.884161949157715,4.936628818511963,True,False,0.034272161489720114
2025-07-12,1154932,7,0.0,10.31159782409668,3.226501226425171,24.709590911865234,52.308998107910156,55.37559509277344,True,False,0.0006060962896516851
2025-07-22,1102483,15,0.0,18.5319881439209,4.876211643218994,59.84989929199219,75.12602996826172,76.16248321533203,True,False,0.0013605651969236714
2025-07-24,1183721,9,0.0,10.343714714050293,4.495456218719482,29.256698608398438,40.678611755371094,41.94771194458008,True,False,0.0007603142970345208
2025-08-01,1218670,1,0.0,0.709496021270752,0.709496021270752,0.709496021270752,0.709496021270752,0.709496021270752,True,False,8.205666833515225e-05
