date,lake_px,valid_px,coverage_pct,chl_mean,chl_median,chl_p90,chl_p99,chl_max,presence_low_pct,presence_high_pct,area_day_low,area_day_high,lake,path
2025-02-07,4960306,1194367,24.07849435095335,14.396147727966309,7.322237491607666,25.14571189880371,200.0,200.0,32.95988586422766,13.369927333893184,39.3662,15.9686,Atitlán,chl_soft_out\openEO_2025-02-07Z_chl_soft.tif
2025-02-12,4960306,1014007,20.44242835018646,5.412135124206543,5.037363529205322,6.701510429382324,15.468863487243652,200.0,2.8974158955510165,0.5369785415682534,2.938,0.5445,Atitlán,chl_soft_out\openEO_2025-02-12Z_chl_soft.tif
2025-02-22,4960306,1054155,21.251813900190836,5.649433135986328,5.309762954711914,8.752954483032227,15.646221160888672,200.0,5.232721943167751,0.4009846749292087,5.5161,0.4227,Atitlán,chl_soft_out\openEO_2025-02-22Z_chl_soft.tif
2025-02-27,4960306,1161855,23.423050916616837,5.840075492858887,5.978751182556152,7.45478630065918,14.41598129272461,127.65935516357422,2.28221249639585,0.3514207883083517,2.6516,0.4083,Atitlán,chl_soft_out\openEO_2025-02-27Z_chl_soft.tif
2025-03-04,4960306,1227243,24.741276042244166,4.353273868560791,4.340458869934082,6.030896186828613,9.346283912658691,200.0,0.8141012008216791,0.050845676039708514,0.9991,0.0624,Atitlán,chl_soft_out\openEO_2025-03-04Z_chl_soft.tif
2025-03-09,4960306,1229854,24.793913923858728,5.595355987548828,6.074630260467529,7.450674533843994,9.152267456054688,38.35899353027344,0.5872241745768196,0.043338477575386995,0.7222,0.0533,Atitlán,chl_soft_out\openEO_2025-03-09Z_chl_soft.tif
2025-03-14,4960306,1236390,24.925679988291044,5.323112487792969,5.548132419586182,6.9674153327941895,9.124220848083496,85.45672607421875,0.6994556733716708,0.10093902409433918,0.8648,0.1248,Atitlán,chl_soft_out\openEO_2025-03-14Z_chl_soft.tif
2025-03-24,4960306,1220991,24.615235431039938,5.883004188537598,6.075399398803711,7.682997703552246,10.199074745178223,53.9682731628418,1.1359625091421641,0.08640522329812422,1.387,0.1055,Atitlán,chl_soft_out\openEO_2025-03-24Z_chl_soft.tif
2025-03-26,4960306,1236186,24.92156733878918,4.958137512207031,4.809319496154785,6.374884605407715,9.80937385559082,200.0,0.9279347929842273,0.0800041417715457,1.1471,0.0989,Atitlán,chl_soft_out\openEO_2025-03-26Z_chl_soft.tif
2025-03-29,4960306,1195829,24.10796833905005,3.3348405361175537,3.0403497219085693,4.786472320556641,7.045018672943115,22.03246307373047,0.23105310207395874,0.0017561039245577756,0.2763,0.0021,Atitlán,chl_soft_out\openEO_2025-03-29Z_chl_soft.tif
