lake,n_dates,mean_CHL,p90_CHL,max_CHL,freq_days_pres_low(>=10mg/m3),freq_days_pres_high(>=20mg/m3),area_days_low_km2,area_days_high_km2
Atitlán,23,5.575184054996656,7.956929269044296,200.0,20,4,96.66140000000001,24.366899999999998
Amatitlán,30,10.734887444972992,17.607327779134113,90.87366485595703,22,17,12.8884,6.5747
