date,lake_px,valid_px,coverage_pct,chl_mean,chl_median,chl_p90,chl_p99,chl_max,presence_low_pct,presence_high_pct,area_day_low,area_day_high,lake,path
2025-01-08,1262184,40,0.0031691100505156144,1.4011256694793701,1.2598679065704346,3.1437692642211914,4.051401138305664,4.26261043548584,0.0,0.0,0.0,0.0,Amatitlán,ciano_outputs\descargas_amatitlan\openEO_2025-01-08Z_chl.tif
2025-01-13,1262184,97,0.007685091872500364,24.04569435119629,25.66489028930664,32.93019104003906,47.07676696777344,55.58283615112305,90.72164948453609,72.16494845360825,0.0088,0.007,Amatitlán,ciano_outputs\descargas_amatitlan\openEO_2025-01-13Z_chl.tif
2025-01-18,1262184,107,0.008477369385129267,16.70830535888672,17.325008392333984,23.77817726135254,30.608139038085938,31.46823501586914,87.85046728971963,25.233644859813083,0.0094,0.0027,Amatitlán,ciano_outputs\descargas_amatitlan\openEO_2025-01-18Z_chl.tif
2025-01-28,1262184,12,0.0009507330151546843,1.7660430669784546,1.3137935400009155,4.749265193939209,4.888476848602295,4.893730163574219,0.0,0.0,0.0,0.0,Amatitlán,ciano_outputs\descargas_amatitlan\openEO_2025-01-28Z_chl.tif
2025-02-02,1262184,443,0.03509789380946043,3.249406576156616,3.9062864780426025,4.798243999481201,5.259356498718262,8.98863697052002,0.0,0.0,0.0,0.0,Amatitlán,ciano_outputs\descargas_amatitlan\openEO_2025-02-02Z_chl.tif
2025-02-07,1262184,26,0.0020599215328351494,2.699183225631714,2.678255319595337,4.4826812744140625,11.568954467773438,13.421795845031738,3.8461538461538463,0.0,0.0001,0.0,Amatitlán,ciano_outputs\descargas_amatitlan\openEO_2025-02-07Z_chl.tif
2025-02-12,1262184,8397,0.6652754273544903,20.326637268066406,13.926054954528809,48.72608947753906,70.61724090576172,90.87366485595703,56.78218411337382,40.41919733238061,0.4768,0.3394,Amatitlán,ciano_outputs\descargas_amatitlan\openEO_2025-02-12Z_chl.tif
2025-02-22,1262184,1141,0.0903988641909579,4.5253753662109375,4.6188859939575195,5.132151126861572,8.790827751159668,15.57088565826416,0.6134969325153374,0.0,0.0007,0.0,Amatitlán,ciano_outputs\descargas_amatitlan\openEO_2025-02-22Z_chl.tif
2025-02-27,1262184,15817,1.2531453417251368,12.948698043823242,12.461766242980957,21.916418075561523,30.249391555786133,39.2087516784668,62.95125497882026,14.83846494278308,0.9957,0.2347,Amatitlán,ciano_outputs\descargas_amatitlan\openEO_2025-02-27Z_chl.tif
2025-03-04,1262184,27218,2.1564209338733495,33.30491256713867,31.935848236083984,52.364158630371094,64.80781555175781,74.1123275756836,95.5323682856933,87.55970313762951,2.6002,2.3832,Amatitlán,ciano_outputs\descargas_amatitlan\openEO_2025-03-04Z_chl.tif
2025-03-09,1262184,12533,0.9929614065778049,8.908927917480469,5.481024742126465,20.928497314453125,39.464622497558594,48.74053192138672,23.47402856458948,10.651879039336153,0.2942,0.1335,Amatitlán,ciano_outputs\descargas_amatitlan\openEO_2025-03-09Z_chl.tif
2025-03-14,1262184,11524,0.9130206055535485,9.341779708862305,7.295751094818115,17.367504119873047,35.67786407470703,54.25733184814453,31.213120444290176,6.438736549809095,0.3597,0.0742,Amatitlán,ciano_outputs\descargas_amatitlan\openEO_2025-03-14Z_chl.tif
2025-03-19,1262184,24142,1.912716370988699,19.305288314819336,18.50678253173828,28.851085662841797,34.94648742675781,43.1717414855957,95.17438488940437,42.04291276613371,2.2977,1.015,Amatitlán,ciano_outputs\descargas_amatitlan\openEO_2025-03-19Z_chl.tif
