date,mean,median,p90,std,water_px,timestamp_s,date_ordinal,doy,year,month,day
2025-01-06,2.570786476135254,0.6666524410247803,8.149551391601562,3.3734304904937744,628,1736121600,739257,6,2025,1,6
2025-01-11,11.308612823486328,9.802888870239258,19.187265396118164,6.2732014656066895,676,1736553600,739262,11,2025,1,11
2025-01-13,8.980939865112305,9.153539657592773,13.819884300231934,4.116935729980469,258,1736726400,739264,13,2025,1,13
2025-01-16,9.385171890258789,9.009592056274414,13.81274700164795,3.333460807800293,193,1736985600,739267,16,2025,1,16
2025-01-18,9.63619327545166,9.277718544006348,14.927803039550781,4.55464506149292,312,1737158400,739269,18,2025,1,18
2025-01-21,12.85458755493164,11.353513717651367,21.764583587646484,7.021022796630859,532,1737417600,739272,21,2025,1,21
2025-01-26,31.452829360961914,15.919770240783691,40.33301544189453,82.0551528930664,621,1737849600,739277,26,2025,1,26
2025-01-28,3.7027740478515625,3.399171829223633,5.001002788543701,3.224642515182495,1123,1738022400,739279,28,2025,1,28
2025-01-31,4.154399871826172,3.4204044342041016,6.7415008544921875,3.456264019012451,3363,1738281600,739282,31,2025,1,31
2025-02-07,1.587103247642517,0.0,4.32227087020874,3.0368309020996094,1608,1738886400,739289,38,2025,2,7
2025-02-10,4.689124584197998,4.107326984405518,5.204278469085693,2.541318655014038,3476,1739145600,739292,41,2025,2,10
2025-02-25,4.654151439666748,3.493631362915039,5.3976054191589355,17.422109603881836,2498,1740441600,739307,56,2025,2,25
2025-02-27,2.9732306003570557,3.687059164047241,4.5386199951171875,1.6556801795959473,7300,1740614400,739309,58,2025,2,27
2025-03-02,10.160511016845703,8.219367980957031,19.19393539428711,6.295332908630371,1273,1740873600,739312,61,2025,3,2
2025-03-04,2.5192911624908447,0.2833075523376465,8.910337448120117,3.4524877071380615,399,1741046400,739314,63,2025,3,4
2025-03-07,4.487201690673828,3.1346397399902344,4.633248329162598,22.684194564819336,3911,1741305600,739317,66,2025,3,7
2025-03-09,2.7623367309570312,2.9058620929718018,6.010416030883789,2.170064687728882,813,1741478400,739319,68,2025,3,9
2025-03-12,3.399656057357788,3.543026924133301,4.139819622039795,1.206878662109375,12878,1741737600,739322,71,2025,3,12
2025-03-14,4.933864116668701,3.677048683166504,11.332061767578125,4.4580559730529785,147,1741910400,739324,73,2025,3,14
2025-03-19,2.2968618869781494,2.4500997066497803,4.379846572875977,1.7169352769851685,2705,1742342400,739329,78,2025,3,19
2025-03-22,4.679569721221924,3.772268056869507,9.991307258605957,4.679057598114014,3555,1742601600,739332,81,2025,3,22
2025-03-24,2.1872713565826416,0.0,7.6875176429748535,3.0732526779174805,283,1742774400,739334,83,2025,3,24
2025-03-26,3.992151975631714,4.016219139099121,4.231324672698975,0.27053019404411316,13216,1742947200,739336,85,2025,3,26
2025-04-03,1.7932095527648926,1.666756510734558,3.719374656677246,1.9567350149154663,728,1743638400,739344,93,2025,4,3
2025-04-11,3.008363962173462,3.6650495529174805,5.182559490203857,2.2904305458068848,13888,1744329600,739352,101,2025,4,11
2025-04-13,1.7065986394882202,0.0,7.142941474914551,2.959597110748291,40,1744502400,739354,103,2025,4,13
2025-04-15,1.954657793045044,0.0,6.305039882659912,2.8419477939605713,41,1744675200,739356,105,2025,4,15
2025-04-16,29.160171508789062,4.056129455566406,19.724760055541992,105.34746551513672,526,1744761600,739357,106,2025,4,16
2025-04-18,0.709940493106842,0.0,3.6251814365386963,1.568307876586914,82,1744934400,739359,108,2025,4,18
2025-04-28,1.444374680519104,0.0,4.170902252197266,1.7566494941711426,545,1745798400,739369,118,2025,4,28
2025-05-03,3.3255906105041504,3.5357558727264404,5.00056266784668,1.5929828882217407,281,1746230400,739374,123,2025,5,3
2025-05-13,2.7611660957336426,0.0,10.296781539916992,4.508573055267334,56,1747094400,739384,133,2025,5,13
2025-05-28,3.815483808517456,3.869147300720215,4.651249885559082,0.8949939012527466,2547,1748390400,739399,148,2025,5,28
2025-07-10,3.175880193710327,2.9407362937927246,3.6746349334716797,2.7582480907440186,10662,1752105600,739442,191,2025,7,10
2025-07-17,9.162031173706055,10.609969139099121,14.822285652160645,5.269579887390137,285,1752710400,739449,198,2025,7,17
2025-07-20,9.745351791381836,3.8190760612487793,24.718957901000977,9.848750114440918,693,1752969600,739452,201,2025,7,20
2025-07-24,6.88308572769165,7.961164474487305,15.090835571289062,6.364978313446045,633,1753315200,739456,205,2025,7,24
2025-08-01,16.897703170776367,17.71645164489746,25.276073455810547,7.711695194244385,355,1754006400,739464,213,2025,8,1
2025-08-09,3.685530185699463,2.7126853466033936,7.566330909729004,5.41863489151001,2929,1754697600,739472,221,2025,8,9
2025-08-13,9.136008262634277,9.308792114257812,13.373116493225098,3.7861998081207275,566,1755043200,739476,225,2025,8,13
