r,c,prob,yhat_raw,yhat_clustered
905,2099,0.711990263474641,0,0
516,1214,0.713336200177551,0,0
392,1297,0.7045602709806073,0,0
772,1882,0.6689935163571238,0,0
80,1741,0.7290617249283287,0,0
847,1332,0.713336200177551,0,0
1357,907,0.7367407108710181,0,0
433,1866,0.7274510706103533,0,0
678,812,0.7855431361780173,1,0
585,505,0.8540379341840119,1,0
678,2103,0.6129739688241392,0,0
519,629,0.8540379341840119,1,0
907,1052,0.713336200177551,0,0
339,927,0.8221890694693323,1,0
636,1386,0.713336200177551,0,0
730,1961,0.24473203414484335,0,0
421,1073,0.711990263474641,0,0
644,740,0.7653894589865652,0,0
198,1596,0.7274510706103533,0,0
429,1172,0.7045602709806073,0,0
449,829,0.8235438219141987,1,0
348,1002,0.7653894589865652,0,0
245,1184,0.729815105485368,0,0
737,746,0.7444542440454819,0,0
822,869,0.7531184320683209,0,0
830,1263,0.713336200177551,0,0
835,918,0.7531184320683209,0,0
815,1504,0.713336200177551,0,0
1289,946,0.713336200177551,0,0
720,2118,0.6027197451656674,0,0
632,687,0.8193268561712257,1,0
956,2281,0.7531184320683209,0,0
508,1785,0.711990263474641,0,0
847,1119,0.713336200177551,0,0
849,1309,0.713336200177551,0,0
525,1930,0.711990263474641,0,0
610,1572,0.711990263474641,0,0
617,1532,0.711990263474641,0,0
239,1431,0.711990263474641,0,0
783,1803,0.7045602709806073,0,0
975,2172,0.713336200177551,0,0
899,1340,0.7274510706103533,0,0
927,1968,0.7055446717777563,0,0
577,1294,0.713336200177551,0,0
602,2133,0.713336200177551,0,0
534,623,0.8255094056554834,1,0
1032,1057,0.7274510706103533,0,0
582,1985,0.711990263474641,0,0
937,1869,0.713336200177551,0,0
718,1462,0.711990263474641,0,0
703,1665,0.711990263474641,0,0
451,948,0.7531184320683209,0,0
550,1207,0.713336200177551,0,0
591,1468,0.711990263474641,0,0
459,1325,0.711990263474641,0,0
295,1229,0.713336200177551,0,0
564,1222,0.713336200177551,0,0
450,1178,0.6129739688241392,0,0
744,2113,0.711990263474641,0,0
886,1765,0.713336200177551,0,0
1508,818,0.7653894589865652,0,0
391,1374,0.46063928870757276,0,0
418,1600,0.24473203414484335,0,0
922,1382,0.7290617249283287,0,0
822,1090,0.713336200177551,0,0
484,876,0.7854751849997674,0,0
621,1077,0.7290617249283287,0,0
453,1608,0.711990263474641,0,0
349,1363,0.7045602709806073,0,0
358,1651,0.5702064420670645,0,0
261,1364,0.713336200177551,0,0
515,1203,0.713336200177551,0,0
333,1105,0.713336200177551,0,0
389,1961,0.729815105485368,0,0
878,1202,0.713336200177551,0,0
729,810,0.7621373909238652,0,0
346,1902,0.7055446717777563,0,0
551,1380,0.711990263474641,0,0
1029,1145,0.7290617249283287,0,0
789,939,0.7367407108710181,0,0
379,1766,0.711990263474641,0,0
779,2197,0.713336200177551,0,0
754,1711,0.7045602709806073,0,0
978,1998,0.713336200177551,0,0
352,1208,0.720428641330266,0,0
791,1087,0.713336200177551,0,0
393,1208,0.713336200177551,0,0
594,1142,0.713336200177551,0,0
498,936,0.7274510706103533,0,0
529,727,0.8193268561712257,1,0
576,1411,0.711990263474641,0,0
1022,1892,0.8069369088429615,1,0
755,1762,0.7045602709806073,0,0
469,1519,0.711990263474641,0,0
760,1665,0.7055446717777563,0,0
233,1405,0.713336200177551,0,0
445,878,0.8255094056554834,1,0
248,1460,0.711990263474641,0,0
288,1582,0.711990263474641,0,0
789,1805,0.6027197451656674,0,0
582,1279,0.711990263474641,0,0
