week,pct_ge_12,pct_ge_15,pct_ge_20,p95,mean_log
2025-02-04,25.92444365927726,19.62495614831957,13.369927333893184,42.20100402832031,2.283846139907837
2025-02-11,1.8750363656266673,1.0811562444835192,0.5369785415682534,8.068816184997559,1.799045205116272
2025-02-18,2.525435064103476,1.1577993748547415,0.4009846749292087,10.109230041503906,1.8160678148269653
2025-02-25,1.51593787520818,0.9008008744636808,0.3514207883083517,8.176020622253418,1.8733386993408203
2025-03-04,0.3992028649215488,0.20229765330055374,0.047092076807547754,7.250039339065552,1.737537920475006
2025-03-11,0.45519617596389494,0.27806760002911707,0.10093902409433918,7.465340614318848,1.805301308631897
2025-03-18,0.4598723495914384,0.24684866637018618,0.08640522329812422,8.292207717895508,1.8910237550735474
2025-03-25,0.30861548949159745,0.14585054936210282,0.04088012284805174,6.255249738693237,1.5983492732048035
2025-04-01,5.030091816448387,3.353450991150263,2.175602767702015,12.014632225036621,1.8180869817733765
2025-04-08,0.46775021524109023,0.3001653213256426,0.11528029846764512,6.792445659637451,1.7474312782287598
2025-04-15,0.6258119558683807,0.4047660597599519,0.18266987247849326,8.003512382507324,1.7978399991989136
2025-04-29,0.26984655939042285,0.10990817831151142,0.020838590607862566,6.938375949859619,1.6300569772720337
2025-05-06,0.14861141211802223,0.03967859523107282,0.0008962311037819324,6.689768314361572,1.7476965188980103
2025-05-13,0.6641131122052345,0.30286343612334804,0.11377623736719357,8.708332061767578,1.7549989223480225
2025-05-20,5.468292290825742,3.29370370339679,2.0317263541872967,12.438985824584961,1.7870060205459595
2025-05-27,0.24884482250580425,0.08224669475143041,0.007852292707567668,6.00345516204834,1.5308152437210083
2025-07-01,0.47669224880349553,0.18609398787958747,0.037583347365606985,7.421856880187988,1.7298269271850586
2025-07-08,0.6410464863532661,0.36207017537854347,0.10705501994766199,8.36057186126709,1.8867790699005127
2025-07-22,1.7411171497544797,0.7126261906813582,0.2408334878504453,9.700271606445312,1.8522238731384277
2025-07-29,0.7519395847590006,0.4824376756516891,0.2234200084849214,6.444307804107666,1.5428427457809448
