date,lake_px,valid_px,clouds_pct_over_lake,coverage_pct,chl_mean,chl_median,chl_p90,chl_max
2025-01-08,148697,148697,0.0,100.0,2.622175693511963,2.5118863582611084,2.8901779651641846,17.061748504638672
2025-01-13,148697,148697,0.0,100.0,5.599991798400879,5.419644832611084,7.866606712341309,20.36304473876953
2025-01-18,148697,148697,0.0,100.0,6.096904277801514,5.850217342376709,8.258431434631348,20.538528442382812
2025-01-28,148697,148697,0.0,100.0,3.807109832763672,3.4902915954589844,5.502021312713623,21.214773178100586
2025-02-02,148697,148697,0.0,100.0,4.335752964019775,2.5118863582611084,8.364526748657227,21.79275131225586
2025-02-07,148697,148697,0.0,100.0,5.400338649749756,5.29172945022583,7.182918548583984,23.982419967651367
2025-02-12,148697,148697,0.0,100.0,5.607627868652344,2.5118863582611084,12.631409645080566,23.48004722595215
2025-02-22,148697,148697,0.0,100.0,2.8662803173065186,2.5118863582611084,3.3166494369506836,15.680392265319824
2025-02-27,148697,148697,0.0,100.0,7.954280376434326,8.105594635009766,12.444247245788574,18.9310359954834
2025-03-04,148697,148697,0.0,100.0,11.693449974060059,11.904682159423828,17.4311466217041,22.461198806762695
2025-03-09,148697,148697,0.0,100.0,4.51440954208374,3.314911365509033,8.376148223876953,20.197202682495117
2025-03-14,148697,148697,0.0,100.0,6.672242641448975,5.880849838256836,12.461041450500488,20.222137451171875
2025-03-19,148697,148697,0.0,100.0,10.089820861816406,10.293394088745117,15.024967193603516,22.585535049438477
2025-03-24,148697,148697,0.0,100.0,12.21055793762207,12.139025688171387,16.094785690307617,22.70684242248535
2025-04-03,148697,148697,0.0,100.0,5.634642601013184,4.246462821960449,11.11970329284668,21.643457412719727
2025-04-08,148697,148697,0.0,100.0,2.8555350303649902,2.5118863582611084,3.673769235610962,20.905838012695312
2025-04-13,148697,148697,0.0,100.0,4.9120025634765625,4.019476413726807,7.538419246673584,20.864620208740234
2025-04-15,148697,148697,0.0,100.0,5.143255710601807,4.088472366333008,8.405396461486816,21.02429962158203
2025-04-18,148697,148697,0.0,100.0,5.131157875061035,4.0504631996154785,8.606130599975586,22.085412979125977
2025-04-28,148697,148697,0.0,100.0,6.070003986358643,5.539076328277588,11.262794494628906,29.22850799560547
2025-05-03,148697,148697,0.0,100.0,4.935821056365967,3.6628105640411377,9.865288734436035,20.350189208984375
2025-05-08,148697,148697,0.0,100.0,4.2424540519714355,2.5118863582611084,9.204782485961914,16.04336929321289
2025-05-13,148697,148697,0.0,100.0,7.996188640594482,7.664191722869873,12.494158744812012,21.044097900390625
2025-06-14,148697,148697,0.0,100.0,4.58441686630249,3.878051280975342,7.163773059844971,21.40936279296875
2025-07-17,148697,148697,0.0,100.0,3.8553802967071533,2.921644449234009,5.915557861328125,19.644126892089844
2025-07-22,148697,148697,0.0,100.0,4.147082328796387,3.5480637550354004,6.2023024559021,22.31509780883789
2025-07-24,148697,148697,0.0,100.0,3.192598342895508,2.5118863582611084,5.266500949859619,18.59198760986328
2025-07-27,148697,148697,0.0,100.0,4.029833793640137,2.565941572189331,6.045114994049072,21.069936752319336
2025-08-01,148697,148697,0.0,100.0,4.885166645050049,4.705039978027344,6.177465915679932,23.46831703186035
2025-08-13,148697,148697,0.0,100.0,8.123937606811523,8.309197425842285,11.05029296875,29.937604904174805
