date,lake_px,valid_px,clouds_pct_over_lake,coverage_pct,chl_mean,chl_median,chl_p90,chl_max
2025-02-07,1199345,1194367,0.0,99.5849401131451,14.396147727966309,7.322237491607666,25.14571189880371,200.0
2025-02-12,1014015,1014007,0.0,99.99921105703565,5.412134647369385,5.037363529205322,6.701510429382324,200.0
2025-02-22,1054155,1054155,0.0,100.0,5.64943265914917,5.309762954711914,8.752954483032227,200.0
2025-02-27,1161855,1161855,0.0,100.0,5.840075492858887,5.978751182556152,7.45478630065918,127.65935516357422
2025-03-04,1227243,1227243,0.0,100.0,4.353274822235107,4.340458869934082,6.030896186828613,200.0
2025-03-09,1229854,1229854,0.0,100.0,5.595355033874512,6.074630260467529,7.450674533843994,38.35899353027344
2025-03-14,1236390,1236390,0.0,100.0,5.323112487792969,5.548132419586182,6.9674153327941895,85.45672607421875
2025-03-24,1220991,1220991,0.0,100.0,5.883003234863281,6.075399398803711,7.682997703552246,53.9682731628418
2025-03-26,1236186,1236186,0.0,100.0,4.958137035369873,4.809319496154785,6.374884605407715,200.0
2025-03-29,1195829,1195829,0.0,100.0,3.3348400592803955,3.0403497219085693,4.786472320556641,22.03246307373047
2025-04-03,1181084,1181052,0.0,99.99729062454492,6.476685523986816,4.944259166717529,9.166519165039062,200.0
2025-04-13,1236985,1236985,0.0,100.0,4.935852527618408,5.072595596313477,6.353943824768066,50.36259841918945
2025-04-15,1237752,1237752,0.0,100.0,5.35073709487915,5.584461688995361,7.4120707511901855,200.0
2025-05-03,1137313,1137313,0.0,100.0,4.381347179412842,4.5242414474487305,6.430856227874756,28.110191345214844
2025-05-08,1227362,1227362,0.0,100.0,4.959483623504639,5.325288772583008,6.389484405517578,22.97240447998047
2025-05-13,1234880,1234880,0.0,100.0,5.172990322113037,5.0520853996276855,7.901412010192871,74.24151611328125
2025-05-25,1206757,1206757,0.0,100.0,6.139961242675781,4.473333835601807,9.553439140319824,200.0
2025-05-28,1235308,1235308,0.0,100.0,3.7528839111328125,3.5266990661621094,5.149026870727539,77.89058685302734
2025-07-02,1152106,1152106,0.0,100.0,4.847456455230713,4.727204322814941,6.6538519859313965,78.19953918457031
2025-07-12,1168558,1168558,0.0,100.0,5.881330966949463,6.091318607330322,7.773458480834961,72.30241394042969
2025-07-22,1123878,1123878,0.0,100.0,5.510626316070557,5.713325023651123,7.997499465942383,68.62242889404297
2025-07-24,1198792,1198792,0.0,100.0,6.150417327880859,5.896847248077393,9.42504596710205,200.0
2025-08-01,1230418,1230418,0.0,100.0,3.9239466190338135,3.538418769836426,5.454458713531494,200.0
